# dve_sweep 20260724T203458Z rev=7138020 timeout=15s dve2hsc-flags='' hsc-flags='--explicit'
# model	status	states-or-detail	nodes	seconds
adding.1	run-ok	7372	(unsupported)	0.05
adding.2	run-ok	836838	(unsupported)	0.42
adding.3	run-ok	1894376	(unsupported)	1.01
adding.4	run-ok	3370680	(unsupported)	2.23
adding.5	run-ok	5271456	(unsupported)	3.55
adding.6	run-ok	7609684	(unsupported)	5.56
at.1	run-ok	39354	(unsupported)	0.08
at.2	run-ok	49443	(unsupported)	0.08
at.3	run-ok	1711620	(unsupported)	2.44
at.4	run-ok	6597245	(unsupported)	11.62
at.5	timeout	15s		15.04
at.6	timeout	15s		15.04
at.7	timeout	15s		15.04
bakery.1	run-ok	1506	(unsupported)	0.03
bakery.2	run-ok	1146	(unsupported)	0.03
bakery.3	run-ok	32919	(unsupported)	0.07
bakery.4	run-ok	157003	(unsupported)	0.17
bakery.5	run-ok	7866401	(unsupported)	12.71
bakery.6	timeout	15s		15.04
bakery.7	timeout	15s		15.04
bakery.8	timeout	15s		15.05
blocks.2	run-ok	7057	(unsupported)	0.04
blocks.3	run-ok	695418	(unsupported)	1.24
blocks.4	timeout	15s		15.05
bopdp.1	run-ok	12642	(unsupported)	0.05
bopdp.2	run-ok	25685	(unsupported)	0.07
bopdp.3	run-ok	1040953	(unsupported)	1.60
bridge.1	run-ok	3186	(unsupported)	0.04
bridge.2	run-ok	96923	(unsupported)	0.18
bridge.3	run-ok	838864	(unsupported)	1.72
brp.1	run-ok	18928	(unsupported)	0.06
brp2.1	run-ok	42285	(unsupported)	0.09
brp2.2	run-ok	61464	(unsupported)	0.11
brp2.3	run-ok	40184	(unsupported)	0.08
brp2.4	run-ok	679993	(unsupported)	0.83
brp2.5	run-ok	298111	(unsupported)	0.37
brp2.6	run-ok	5742313	(unsupported)	7.78
brp.2	run-ok	29188	(unsupported)	0.07
brp.3	run-ok	996627	(unsupported)	1.10
brp.4	timeout	15s		15.04
brp.5	timeout	15s		15.04
brp.6	timeout	15s		15.04
cambridge.1	run-ok	11339	(unsupported)	0.06
cambridge.2	run-ok	15940	(unsupported)	0.08
cambridge.3	run-ok	18138	(unsupported)	0.08
