# dve_sweep 20260724T203500Z rev=7138020 timeout=15s dve2hsc-flags='' hsc-flags=''
# model	status	states-or-detail	nodes	seconds
adding.1	run-ok	7372	243	0.06
adding.2	timeout	15s		15.05
adding.3	timeout	15s		15.04
adding.4	timeout	15s		15.04
adding.5	timeout	15s		15.04
adding.6	timeout	15s		15.03
at.1	run-ok	39354	981	0.09
at.2	run-ok	49443	1057	0.10
at.3	run-ok	1711620	6398	2.09
at.4	run-ok	6597245	5492	1.84
at.5	run-ok	31999440	12749	6.93
at.6	timeout	15s		15.02
at.7	timeout	15s		15.02
bakery.1	run-ok	1506	457	0.04
bakery.2	run-ok	1146	316	0.04
bakery.3	run-ok	32919	3779	0.26
bakery.4	run-ok	157003	6989	0.79
bakery.5	timeout	15s		15.02
bakery.6	timeout	15s		15.02
bakery.7	timeout	15s		15.02
bakery.8	timeout	15s		15.02
blocks.2	run-ok	7057	1272	0.07
blocks.3	run-ok	695418	11514	1.70
blocks.4	timeout	15s		15.02
bopdp.1	run-ok	12642	1093	0.11
bopdp.2	run-ok	25685	910	0.19
bopdp.3	run-ok	1040953	2976	1.75
bridge.1	run-ok	3186	1020	0.06
bridge.2	run-ok	96923	5298	0.34
bridge.3	run-ok	838864	23131	2.45
brp.1	run-ok	18928	1700	0.19
brp2.1	run-ok	42285	13074	0.60
brp2.2	run-ok	61464	15252	1.07
brp2.3	run-ok	40184	12682	0.57
brp2.4	run-ok	679993	55656	5.55
brp2.5	run-ok	298111	40462	3.16
brp2.6	timeout	15s		15.03
brp.2	run-ok	29188	1633	0.21
brp.3	run-ok	996627	4045	3.41
brp.4	timeout	15s		15.02
brp.5	timeout	15s		15.02
brp.6	timeout	15s		15.02
cambridge.1	run-ok	11339	1564	0.42
cambridge.2	run-ok	15940	1704	0.54
cambridge.3	run-ok	18138	1788	0.48
cambridge.4	run-ok	60463	3455	2.35
cambridge.5	timeout	15s		15.02
cambridge.6	timeout	15s		15.02
cambridge.7	timeout	15s		15.02
collision.1	run-ok	5593	128	0.05
collision.2	run-ok	12661	130	0.06
collision.3	run-ok	434530	788	0.38
collision.4	timeout	15s		15.02
collision.5	timeout	15s		15.02
collision.6	timeout	15s		15.02
cyclic_scheduler.1	run-ok	4606	133	0.04
cyclic_scheduler.2	run-ok	3302	114	0.03
cyclic_scheduler.3	run-ok	229374	223	0.07
cyclic_scheduler.4	run-ok	473414	222	0.07
driving_phils.1	run-ok	14889	1028	0.15
driving_phils.2	run-ok	33173	1378	0.13
driving_phils.3	timeout	15s		15.02
driving_phils.4	timeout	15s		15.02
driving_phils.5	timeout	15s		15.02
elevator.1	run-ok	8543	3521	0.25
elevator2.1	run-ok	1728	72	0.03
elevator2.2	run-ok	179200	21121	0.24
elevator2.3	run-ok	7667712	272	0.07
elevator.2	run-ok	2825	1985	0.11
elevator.3	timeout	15s		15.02
elevator.4	timeout	15s		15.02
elevator.5	timeout	15s		15.03
elevator_planning.2	run-ok	11428767	181	10.73
elevator_planning.3	run-ok	52496	42	0.07
exit.1	run-ok	3239334	4405	1.06
exit.2	run-ok	33670	2311	0.34
exit.3	run-ok	2356294	7184	9.65
exit.4	timeout	15s		15.02
exit.5	run-ok	833226	2625	2.31
extinction.1	run-ok	8993	1551	0.09
extinction.2	run-ok	10061	3554	0.14
extinction.3	run-ok	751930	5203	0.72
extinction.4	run-ok	2001372	6554	3.33
firewire_link.1	run-ok	1724	511	0.08
firewire_link.2	run-ok	55887	3361	0.80
firewire_link.3	timeout	15s		15.01
firewire_link.4	run-ok	24330	2048	0.51
