system	variant	size	property	bytes	member
chiron	multiple	2021	p01a	11028	chiron/multiple/02021/disp-p01a.lts
chiron	multiple	2021	p02a	11954	chiron/multiple/02021/disp-p02a.lts
chiron	multiple	2021	p03a	11096	chiron/multiple/02021/disp-p03a.lts
chiron	multiple	2021	p04a	11100	chiron/multiple/02021/disp-p04a.lts
chiron	multiple	2021	p05a	11382	chiron/multiple/02021/disp-p05a.lts
chiron	multiple	2021	p06a	11155	chiron/multiple/02021/disp-p06a.lts
chiron	multiple	2021	p07a	13602	chiron/multiple/02021/disp-p07a.lts
chiron	multiple	2021	p09a	12561	chiron/multiple/02021/disp-p09a.lts
chiron	multiple	2021	(base)	10731	chiron/multiple/02021/disp.lts
chiron	multiple	3021	p01a	26478	chiron/multiple/03021/disp-p01a.lts
chiron	multiple	3021	p02a	27404	chiron/multiple/03021/disp-p02a.lts
chiron	multiple	3021	p03a	26612	chiron/multiple/03021/disp-p03a.lts
chiron	multiple	3021	p04a	26550	chiron/multiple/03021/disp-p04a.lts
chiron	multiple	3021	p05a	27522	chiron/multiple/03021/disp-p05a.lts
chiron	multiple	3021	p06a	26605	chiron/multiple/03021/disp-p06a.lts
chiron	multiple	3021	p07a	29052	chiron/multiple/03021/disp-p07a.lts
chiron	multiple	3021	p09a	30447	chiron/multiple/03021/disp-p09a.lts
chiron	multiple	3021	(base)	26181	chiron/multiple/03021/disp.lts
chiron	multiple	4021	p01a	86464	chiron/multiple/04021/disp-p01a.lts
chiron	multiple	4021	p02a	87390	chiron/multiple/04021/disp-p02a.lts
chiron	multiple	4021	p03a	86664	chiron/multiple/04021/disp-p03a.lts
chiron	multiple	4021	p04a	86536	chiron/multiple/04021/disp-p04a.lts
chiron	multiple	4021	p05a	88462	chiron/multiple/04021/disp-p05a.lts
chiron	multiple	4021	p06a	86591	chiron/multiple/04021/disp-p06a.lts
chiron	multiple	4021	p07a	89038	chiron/multiple/04021/disp-p07a.lts
chiron	multiple	4021	p09a	92869	chiron/multiple/04021/disp-p09a.lts
chiron	multiple	4021	(base)	86167	chiron/multiple/04021/disp.lts
chiron	multiple	5021	p01a	472596	chiron/multiple/05021/disp-p01a.lts
chiron	multiple	5021	p02a	473522	chiron/multiple/05021/disp-p02a.lts
chiron	multiple	5021	p03a	472862	chiron/multiple/05021/disp-p03a.lts
chiron	multiple	5021	p04a	472668	chiron/multiple/05021/disp-p04a.lts
chiron	multiple	5021	p05a	475812	chiron/multiple/05021/disp-p05a.lts
chiron	multiple	5021	p06a	472723	chiron/multiple/05021/disp-p06a.lts
chiron	multiple	5021	p07a	475170	chiron/multiple/05021/disp-p07a.lts
chiron	multiple	5021	p09a	483296	chiron/multiple/05021/disp-p09a.lts
