system	subject	status	verdict	sym_verdict	agree	certcheck	rounds	cex	budget	rungs_c/i/e	inv	abs_states	witness_len	sym_states	xreach_states	ns_search/replay/refine	wall_ms_cegar/sym/xpl
chiron_multiple	chiron_multiple_a2_p01	ok	holds	holds	yes	pass	2	25	84	9/2/0	134	134	-	794	794	555885/801/12452243	50/36/38
chiron_multiple	chiron_multiple_a2_p02	ok	holds	holds	yes	pass	5	50	84	2/5/4	1426	1426	-	794	794	4885467/7835/16730377	58/38/38
chiron_multiple	chiron_multiple_a2_p03	ok	holds	holds	yes	pass	3	35	84	6/3/2	15616	15616	-	1150	1150	40664121/1358/13498700	117/39/37
chiron_multiple	chiron_multiple_a2_p04	ok	holds	holds	yes	pass	1	0	84	11/0/0	2	2	-	1072	1072	20178/0/0	34/38/37
chiron_multiple	chiron_multiple_a2_p05	ok	holds	holds	yes	pass	3	20	84	9/2/0	117	117	-	794	794	958847/704/6362785	41/37/36
chiron_multiple	chiron_multiple_a2_p06	ok	holds	holds	yes	pass	2	13	84	9/1/1	26624	26624	-	794	794	184893569/715/5096055	267/36/36
chiron_multiple	chiron_multiple_a2_p07	ok	holds	holds	yes	pass	4	50	84	2/5/4	1486	1486	-	874	874	6890183/6962/15537955	60/36/29
chiron_multiple	chiron_multiple_a2_p09	ok	holds	holds	yes	pass	4	43	84	7/3/1	188	188	-	794	794	1499643/3670/16716343	52/36/36
chiron_single	chiron_single_a2_p01	ok	holds	holds	yes	pass	2	9	55	7/1/1	18	18	-	137	137	383436/1105/1193362	38/40/36
chiron_single	chiron_single_a2_p02	ok	holds	holds	yes	pass	4	31	55	1/4/4	337	337	-	137	137	3354453/5734/3587531	43/39/33
chiron_single	chiron_single_a2_p03	cegar_fail	-	holds	-	-	-	-	-	-	-	-	-	202	202	-	8520/40/34
chiron_single	chiron_single_a2_p04	ok	holds	holds	yes	pass	2	12	55	6/1/2	378	378	-	195	195	4401469/1069/1289587	42/39/36
chiron_single	chiron_single_a2_p05	ok	holds	holds	yes	pass	3	15	55	6/2/1	32256	32256	-	137	137	338929948/1160/1667510	466/38/38
chiron_single	chiron_single_a2_p06	cegar_fail	-	holds	-	-	-	-	-	-	-	-	-	137	137	-	8604/35/35
chiron_single	chiron_single_a2_p07	ok	holds	holds	yes	pass	3	31	55	1/4/4	352	352	-	150	150	8628199/4139/3570725	48/40/38
chiron_single	chiron_single_a2_p09	ok	holds	holds	yes	pass	4	26	55	4/2/3	27648	27648	-	137	137	644387072/5547/4078338	765/43/40
gas_station	gas_c002_correct_change	ok	holds	holds	yes	pass	3	15	23	0/0/4	165	165	-	165	165	10140140/6095/1338549	50/36/32
gas_station	gas_c002_cust_1_start_stop	ok	holds	holds	yes	pass	2	13	23	2/0/2	896	896	-	165	165	37059088/884/1309041	79/38/34
gas_station	gas_c002_mutual_exclusion	ok	holds	holds	yes	pass	2	13	23	2/0/2	896	896	-	165	165	37429219/721/1318783	81/41/32
gas_station	gas_c002_pump1_start_stop	ok	holds	holds	yes	pass	2	13	23	2/0/2	896	896	-	165	165	37435383/742/1311970	82/40/35
gas_station	gas_c003_correct_change	ok	holds	holds	yes	pass	3	17	25	0/0/4	1197	1197	-	1197	1197	498864893/12136/2245990	575/108/53
gas_station	gas_c003_cust_1_start_stop	ok	holds	holds	yes	pass	2	15	25	2/0/2	10045	10045	-	1197	1197	2652978049/1424/1787187	2887/236/53
gas_station	gas_c003_mutual_exclusion	ok	holds	holds	yes	pass	2	15	25	2/0/2	10045	10045	-	1197	1197	2650521120/1367/1781981	2887/234/55
gas_station	gas_c003_pump1_start_stop	ok	holds	holds	yes	pass	2	15	25	2/0/2	10045	10045	-	1197	1197	2669328677/1443/1801843	2912/112/53
gas_station	gas_c004_correct_change	ok	holds	holds	yes	pass	3	19	27	0/0/4	7209	7209	-	7209	7209	11761107112/21737/38618759	12176/1700/171
gas_station	gas_c004_cust_1_start_stop	cegar_timeout	-	holds	-	-	-	-	-	-	-	-	-	7209	7209	-	15013/353/166
gas_station	gas_c004_mutual_exclusion	cegar_timeout	-	holds	-	-	-	-	-	-	-	-	-	7209	7209	-	15013/354/163
gas_station	gas_c004_pump1_start_stop	cegar_timeout	-	holds	-	-	-	-	-	-	-	-	-	7209	7209	-	15015/454/165
gas_station	gas_c005_correct_change	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	38313	-	15108/15011/1086
gas_station	gas_c005_cust_1_start_stop	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	38313	-	15013/15010/1065
gas_station	gas_c005_mutual_exclusion	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	38313	-	15013/15009/1074
gas_station	gas_c005_pump1_start_stop	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	38313	-	15014/15010/1066
gas_station	gas_c006_correct_change	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15106/15013/7797
gas_station	gas_c006_cust_1_start_stop	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15023/15012/7710
gas_station	gas_c006_mutual_exclusion	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15018/15010/7696
gas_station	gas_c006_pump1_start_stop	cegar_timeout+sym_timeout	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15019/15011/7782
gas_station	gas_c007_correct_change	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15100/15013/15150
gas_station	gas_c007_cust_1_start_stop	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15025/15011/15155
gas_station	gas_c007_mutual_exclusion	cegar_timeout+sym_timeout+xpl_timeout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15024/15011/15154
