system	subject	status	verdict	sym_verdict	agree	certcheck	rounds	cex	budget	rungs_c/i/e	inv	abs_states	witness_len	sym_states	xreach_states	ns_search/replay/refine	wall_ms_cegar/sym/xpl
chiron_multiple	chiron_multiple_a2_p01	ok	holds	holds	yes	pass	2	25	90	6/2/0	134	134	-	794	794	238049/689/12505613	44/38/35
chiron_multiple	chiron_multiple_a2_p02	ok	holds	holds	yes	pass	3	54	90	2/5/1	3558	3558	-	794	794	3432379/2237/30149350	72/36/35
chiron_multiple	chiron_multiple_a2_p03	ok	holds	holds	yes	pass	3	48	90	4/4/0	1882	1882	-	1150	1150	2066356/1251/29211760	69/36/35
chiron_multiple	chiron_multiple_a2_p04	ok	holds	holds	yes	pass	1	0	90	8/0/0	2	2	-	1072	1072	7934/0/0	29/31/29
chiron_multiple	chiron_multiple_a2_p05	ok	holds	holds	yes	pass	3	20	90	6/2/0	117	117	-	794	794	325434/622/6298268	37/35/32
chiron_multiple	chiron_multiple_a2_p06	ok	holds	holds	yes	pass	2	27	90	6/2/0	208	208	-	794	794	477775/405/22369127	56/33/33
chiron_multiple	chiron_multiple_a2_p07	ok	holds	holds	yes	pass	3	63	90	1/5/2	1486	1486	-	874	874	2914008/2968/37994508	76/36/35
chiron_multiple	chiron_multiple_a2_p09	ok	holds	holds	yes	pass	4	43	90	4/3/1	188	188	-	794	794	713404/2776/16850920	48/35/29
chiron_single	chiron_single_a2_p01	ok	holds	holds	yes	pass	2	44	82	4/2/0	130	130	-	137	137	207361/574/495949509	531/34/35
chiron_single	chiron_single_a2_p02	ok	holds	holds	yes	pass	2	47	82	3/2/1	210	210	-	137	137	348769/768/495009223	534/34/34
chiron_single	chiron_single_a2_p03	ok	holds	holds	yes	pass	2	44	82	4/2/0	207	207	-	202	202	313662/481/496263553	531/34/33
chiron_single	chiron_single_a2_p04	ok	holds	holds	yes	pass	2	47	82	3/2/1	301	301	-	195	195	443544/719/497730038	533/35/34
chiron_single	chiron_single_a2_p05	ok	holds	holds	yes	pass	3	50	82	3/3/0	533	533	-	137	137	836157/1205/497523246	536/33/34
chiron_single	chiron_single_a2_p06	ok	holds	holds	yes	pass	2	44	82	4/2/0	121	121	-	137	137	182252/475/495857910	533/32/33
chiron_single	chiron_single_a2_p07	ok	holds	holds	yes	pass	2	53	82	2/3/1	1293	1293	-	150	150	1819355/761/496853212	534/32/32
chiron_single	chiron_single_a2_p09	ok	holds	holds	yes	pass	4	60	82	2/3/1	274	274	-	137	137	1504215/2846/492427826	532/37/35
gas_station	gas_c002_correct_change	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	165	165	-	15011/35/37
gas_station	gas_c002_cust_1_start_stop	ok	holds	holds	yes	pass	2	12	139	1/0/2	674	674	-	165	165	2495441/394/902773	38/36/35
gas_station	gas_c002_mutual_exclusion	ok	holds	holds	yes	pass	2	12	139	1/0/2	674	674	-	165	165	2554318/352/910436	37/34/29
gas_station	gas_c002_pump1_start_stop	ok	holds	holds	yes	pass	2	12	139	1/0/2	674	674	-	165	165	2532453/326/903487	35/36/33
gas_station	gas_c003_correct_change	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	1197	1197	-	15015/61/41
gas_station	gas_c003_cust_1_start_stop	ok	holds	holds	yes	pass	2	14	369	1/0/2	6516	6516	-	1197	1197	61595477/565/1374751	106/59/46
gas_station	gas_c003_mutual_exclusion	ok	holds	holds	yes	pass	2	14	369	1/0/2	6516	6516	-	1197	1197	62796097/396/1371636	106/58/45
gas_station	gas_c003_pump1_start_stop	ok	holds	holds	yes	pass	2	14	369	1/0/2	6516	6516	-	1197	1197	59878150/557/1967763	104/57/42
gas_station	gas_c004_correct_change	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	7209	7209	-	15020/186/116
gas_station	gas_c004_cust_1_start_stop	ok	holds	holds	yes	pass	2	16	783	1/0/2	57456	57456	-	7209	7209	1139062066/435/4269786	1226/157/108
gas_station	gas_c004_mutual_exclusion	ok	holds	holds	yes	pass	2	16	783	1/0/2	57456	57456	-	7209	7209	1163786809/538/3211914	1250/186/114
gas_station	gas_c004_pump1_start_stop	ok	holds	holds	yes	pass	2	16	783	1/0/2	57456	57456	-	7209	7209	1178756383/1244/3866657	1270/169/113
gas_station	gas_c005_correct_change	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	38313	38313	-	15022/3485/688
gas_station	gas_c005_cust_1_start_stop	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	38313	38313	-	15012/2726/623
gas_station	gas_c005_mutual_exclusion	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	38313	38313	-	15012/3042/628
gas_station	gas_c005_pump1_start_stop	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	38313	38313	-	15011/3111/637
gas_station	gas_c006_correct_change	timeout:cegar+sym	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15026/15009/4957
gas_station	gas_c006_cust_1_start_stop	timeout:cegar+sym	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15014/15009/4591
gas_station	gas_c006_mutual_exclusion	timeout:cegar+sym	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15013/15009/4600
gas_station	gas_c006_pump1_start_stop	timeout:cegar+sym	-	-	-	-	-	-	-	-	-	-	-	-	186381	-	15013/15010/4656
gas_station	gas_c007_correct_change	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15031/15010/15013
gas_station	gas_c007_cust_1_start_stop	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15018/15009/15011
gas_station	gas_c007_mutual_exclusion	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15019/15010/15010
gas_station	gas_c007_pump1_start_stop	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15019/15009/15011
gas_station	gas_c008_correct_change	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15039/15010/15012
gas_station	gas_c008_cust_1_start_stop	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15028/15011/15012
gas_station	gas_c008_mutual_exclusion	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15028/15010/15011
gas_station	gas_c008_pump1_start_stop	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15029/15010/15011
gas_station	gas_c009_correct_change	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15046/15011/15013
gas_station	gas_c009_cust_1_start_stop	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15048/15010/15013
gas_station	gas_c009_mutual_exclusion	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15050/15012/15012
gas_station	gas_c009_pump1_start_stop	timeout:cegar+sym+xpl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15045/15010/15012
peterson	peterson2	ok	holds	holds	yes	pass	4	11	28	0/0/3	52	52	-	52	52	95885/1696/768000	31/33/33
peterson	peterson3	ok	holds	holds	yes	pass	3	31	146	0/0/3	2857	2857	-	2857	2857	15088021/1909/99106181	154/56/57
relay	relay_02	ok	holds	holds	yes	pass	2	8	12	0/0/2	18	18	-	18	18	11089/373/474843	32/33/32
relay	relay_03	ok	holds	holds	yes	pass	2	14	18	0/0/2	55	55	-	55	55	34088/416/5396125	34/31/30
relay	relay_04	ok	holds	holds	yes	pass	2	22	26	0/0/2	144	144	-	144	144	109815/334/39879348	76/33/30
relay	relay_05	ok	holds	holds	yes	pass	2	32	36	0/0/2	349	349	-	349	349	259085/450/166800099	200/34/32
relay	relay_06	ok	holds	holds	yes	pass	2	44	48	0/0/2	810	810	-	810	810	776561/509/640393485	678/34/35
relay	relay_07	ok	holds	holds	yes	pass	2	58	62	0/0/2	1831	1831	-	1831	1831	1811660/484/2161106992	2211/34/37
relay	relay_08	ok	holds	holds	yes	pass	2	74	78	0/0/2	4068	4068	-	4068	4068	5627755/374/6161222723	6234/35/50
relay	relay_09	timeout:cegar	-	holds	-	-	-	-	-	-	-	-	-	8929	8929	-	15013/37/71
smokers	smokers2_correct_assembly	ok	holds	holds	yes	pass	4	32	40	0/0/4	52	52	-	52	52	54178/789/5671020	38/33/34
