family	size	opts	status	verdict	sym_verdict	agree	certcheck	rounds	cex	budget	rungs_c/i/e	inv	abs_states	witness_len	sym_states	xreach_states	ns_search/replay/refine	wall_ms_cegar/parity
clients	2	all	ok	holds	holds	yes	pass	2	3	7	0/0/2	3	3	-	3	3	3414/425/34368	32/32
clients	2	all no-intern	ok	holds	holds	yes	pass	2	3	10	1/0/2	3	3	-	3	3	3327/428/34285	30/30
ring	2	all	ok	holds	holds	yes	pass	3	4	8	0/0/2	4	4	-	4	4	4924/553/54448	33/29
ring	2	all no-intern	ok	holds	holds	yes	pass	3	4	8	0/0/2	4	4	-	4	4	4835/654/55289	32/29
clients	4	all	ok	holds	holds	yes	pass	2	5	9	0/0/2	5	5	-	5	5	4255/535/171189	30/28
clients	4	all no-intern	ok	holds	holds	yes	pass	2	5	18	3/0/2	5	5	-	5	5	4277/440/171043	30/30
ring	4	all	ok	holds	holds	yes	pass	3	4	8	0/0/2	8	8	-	8	8	6440/715/54534	30/29
ring	4	all no-intern	ok	holds	holds	yes	pass	5	8	16	0/0/4	8	8	-	8	8	9835/1017/95782	32/31
clients	8	all	ok	holds	holds	yes	pass	2	9	13	0/0/2	9	9	-	9	9	6789/609/1341514	30/31
clients	8	all no-intern	ok	holds	holds	yes	pass	2	9	34	7/0/2	9	9	-	9	9	8189/513/1339798	35/31
ring	8	all	ok	holds	holds	yes	pass	3	4	8	0/0/2	16	16	-	16	16	13561/674/58204	33/34
ring	8	all no-intern	ok	holds	holds	yes	pass	9	16	32	0/0/8	16	16	-	16	16	20907/1742/158035	32/33
clients	16	all	ok	holds	holds	yes	pass	2	17	21	0/0/2	17	17	-	17	17	15149/697/15798922	48/33
clients	16	all no-intern	ok	holds	holds	yes	pass	2	17	66	15/0/2	17	17	-	17	17	16148/623/15834792	50/35
ring	16	all	ok	holds	holds	yes	pass	3	4	8	0/0/2	32	32	-	32	32	33171/765/55959	31/34
ring	16	all no-intern	ok	holds	holds	yes	pass	17	32	64	0/0/16	32	32	-	32	32	79490/3145/282800	29/31
clients	32	all	ok	holds	holds	yes	pass	2	33	37	0/0/2	33	33	-	33	33	45913/709/191352822	224/34
clients	32	all no-intern	ok	holds	holds	yes	pass	2	33	130	31/0/2	33	33	-	33	33	46028/614/189519799	227/34
ring	32	all	ok	holds	holds	yes	pass	3	4	8	0/0/2	64	64	-	64	64	115156/990/55134	34/30
ring	32	all no-intern	ok	holds	holds	yes	pass	33	64	128	0/0/32	64	64	-	64	64	317794/8321/544718	34/32
clients	64	all	ok	holds	holds	yes	pass	2	65	69	0/0/2	65	65	-	65	65	162483/942/3219789088	3281/35
clients	64	all no-intern	ok	holds	holds	yes	pass	2	65	258	63/0/2	65	65	-	65	65	142931/996/3241112698	3301/36
ring	64	all	ok	holds	holds	yes	pass	3	4	8	0/0/2	128	128	-	128	128	455664/1284/55770	31/31
ring	64	all no-intern	ok	holds	holds	yes	pass	65	128	256	0/0/64	128	128	-	128	128	1713158/25095/1081347	39/34
