seed	policy	jump	verdict	rounds	cex	abs_states	ms
1	all	off	violation	1	0	2	2
1	all	on	violation	1	0	2	3
1	first	off	violation	1	0	2	3
1	first	on	violation	1	0	2	3
1	cheapest	off	violation	1	0	2	2
1	cheapest	on	violation	1	0	2	1
2	all	off	violation	1	0	2	3
2	all	on	violation	1	0	2	2
2	first	off	violation	1	0	2	2
2	first	on	violation	1	0	2	2
2	cheapest	off	violation	1	0	2	2
2	cheapest	on	violation	1	0	2	1
3	all	off	violation	3	0	3	4
3	all	on	violation	3	0	3	3
3	first	off	violation	3	0	3	2
3	first	on	violation	3	0	3	3
3	cheapest	off	violation	3	0	3	2
3	cheapest	on	violation	3	0	3	2
4	all	off	holds	3	1	3	2
4	all	on	holds	3	1	3	2
4	first	off	holds	3	1	3	4
4	first	on	holds	3	1	3	2
4	cheapest	off	holds	3	1	3	3
4	cheapest	on	holds	3	1	3	3
5	all	off	holds	2	0	1	3
5	all	on	holds	2	0	1	4
5	first	off	holds	2	0	1	2
5	first	on	holds	2	0	1	3
5	cheapest	off	holds	2	0	1	3
5	cheapest	on	holds	2	0	1	3
6	all	off	holds	1	0	3	4
6	all	on	holds	1	0	3	4
6	first	off	holds	1	0	3	3
6	first	on	holds	1	0	3	3
6	cheapest	off	holds	1	0	3	4
6	cheapest	on	holds	1	0	3	3
7	all	off	violation	3	0	2	3
7	all	on	violation	3	0	2	4
7	first	off	violation	3	0	2	4
7	first	on	violation	3	0	2	4
7	cheapest	off	violation	3	0	2	3
7	cheapest	on	violation	3	0	2	3
8	all	off	holds	2	0	1	4
8	all	on	holds	2	0	1	3
8	first	off	holds	2	0	1	3
8	first	on	holds	2	0	1	3
8	cheapest	off	holds	2	0	1	3
8	cheapest	on	holds	2	0	1	1
9	all	off	holds	3	0	1	2
9	all	on	holds	3	1	1	2
9	first	off	holds	3	0	1	2
9	first	on	holds	3	0	1	2
9	cheapest	off	holds	3	0	1	3
9	cheapest	on	holds	3	0	1	2
10	all	off	violation	1	0	2	2
10	all	on	violation	1	0	2	3
10	first	off	violation	1	0	2	2
10	first	on	violation	1	0	2	2
10	cheapest	off	violation	1	0	2	2
10	cheapest	on	violation	1	0	2	4
11	all	off	violation	1	0	2	4
11	all	on	violation	1	0	2	3
11	first	off	violation	1	0	2	3
11	first	on	violation	1	0	2	3
11	cheapest	off	violation	1	0	2	3
11	cheapest	on	violation	1	0	2	2
12	all	off	violation	1	0	3	4
12	all	on	violation	1	0	3	4
12	first	off	violation	1	0	3	3
12	first	on	violation	1	0	3	4
12	cheapest	off	violation	1	0	3	2
12	cheapest	on	violation	1	0	3	2
13	all	off	violation	1	0	2	2
13	all	on	violation	1	0	2	2
13	first	off	violation	1	0	2	4
13	first	on	violation	1	0	2	2
13	cheapest	off	violation	1	0	2	3
13	cheapest	on	violation	1	0	2	3
14	all	off	holds	2	0	1	2
14	all	on	holds	2	0	1	2
14	first	off	holds	2	0	1	4
14	first	on	holds	2	0	1	3
14	cheapest	off	holds	2	0	1	3
14	cheapest	on	holds	2	0	1	4
15	all	off	violation	1	0	2	4
15	all	on	violation	1	0	2	4
15	first	off	violation	1	0	2	4
15	first	on	violation	1	0	2	4
15	cheapest	off	violation	1	0	2	3
15	cheapest	on	violation	1	0	2	3
