instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
Sudoku-PT-AN01	CTLF	2	0.04	79816	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLF	8	0.04	79896	16	16	0	0	2/6	rc=0
ERK-PT-000001	CTLF	13	0.03	79748	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLC	2	0.03	79884	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLC	2	0.03	79696	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLF	2	0.03	80000	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLC	8	0.03	79732	16	16	0	0	2/6	rc=0
ERK-PT-000001	CTLC	13	0.04	80040	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	80236	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80200	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	80276	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80292	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80188	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80184	16	16	0	0	1/6	rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80104	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80188	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.03	80088	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.03	80388	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLC	35	0.04	80284	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLF	35	0.05	80528	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLC	57	0.05	80536	16	16	0	0	12/66	rc=0
SupplyChain-PT-00002	CTLF	50	0.05	80560	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLF	57	0.05	80320	16	16	0	0	12/66	rc=0
SupplyChain-PT-00002	CTLC	50	0.05	80580	16	16	0	0		rc=0
ResAllocation-PT-R003C003	CTLF	92	0.04	80304	16	16	0	0	3/12	rc=0
ResAllocation-PT-R003C003	CTLC	92	0.04	80432	16	16	0	0	3/12	rc=0
ResAllocation-PT-R005C002	CTLF	112	0.04	80544	16	16	0	0	2/12	rc=0
RobotManipulation-PT-00001	CTLC	110	0.05	80716	16	16	0	0		rc=0
RobotManipulation-PT-00001	CTLF	110	0.05	80560	16	16	0	0		rc=0
ResAllocation-PT-R005C002	CTLC	112	0.05	81000	16	16	0	0	2/12	rc=0
Angiogenesis-PT-01	CTLC	110	0.08	80940	16	16	0	0	2/64	rc=0
Angiogenesis-PT-01	CTLF	110	0.07	80584	16	16	0	0	2/64	rc=0
CircadianClock-PT-000001	CTLC	128	0.03	80312	16	16	0	0		rc=0
CircadianClock-PT-000001	CTLF	128	0.03	80312	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLF	153	0.06	80676	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLC	153	0.09	81300	16	16	0	0		rc=0
CopsAndRobbers-PT-CRL005X001	CTLF	166	0.08	81308	16	16	0	0	16/39	rc=0
