instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
ResAllocation-PT-R002C002	CTLF	8	0.06	79904	16	16	0	0	2/6	rc=0
Sudoku-PT-AN01	CTLF	2	0.06	79576	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLC	2	0.06	79932	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLF	2	0.06	80068	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLC	8	0.06	79692	16	16	0	0	2/6	rc=0
Sudoku-PT-AN01	CTLC	2	0.06	79952	16	16	0	0		rc=0
ERK-PT-000001	CTLF	13	0.03	80048	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	79852	16	16	0	0	2/8	rc=0
ERK-PT-000001	CTLC	13	0.03	80064	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	79940	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80200	16	16	0	0		rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80100	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80052	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80304	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80068	16	16	0	0	1/6	rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80284	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLC	35	0.04	80352	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLF	35	0.05	80428	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.03	80052	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.04	80312	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLF	50	0.05	80404	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLC	50	0.05	80672	16	16	0	0		rc=0
