instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
Sudoku-PT-AN01	CTLC	2	0.04	79812	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLF	2	0.04	79792	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLF	2	0.04	79596	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLC	2	0.04	79952	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLF	8	0.04	79900	16	16	0	0	2/6	rc=0
ResAllocation-PT-R002C002	CTLC	8	0.04	79736	16	16	0	0	2/6	rc=0
ERK-PT-000001	CTLF	13	0.04	79976	16	16	0	0		rc=0
ERK-PT-000001	CTLC	13	0.04	79904	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	80176	16	16	0	0	2/8	rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	80236	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80124	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80112	16	16	0	0		rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80204	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80116	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80296	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80204	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.04	80232	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLC	35	0.04	80256	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.04	80316	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLF	35	0.05	80348	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLC	57	0.05	80568	16	16	0	0	12/66	rc=0
StigmergyElection-PT-02a	CTLF	57	0.05	80492	16	16	0	0	12/66	rc=0
SupplyChain-PT-00002	CTLF	50	0.05	80772	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLC	50	0.06	80736	16	16	0	0		rc=0
ResAllocation-PT-R003C003	CTLF	92	0.04	80272	16	16	0	0	3/12	rc=0
ResAllocation-PT-R003C003	CTLC	92	0.04	80436	16	16	0	0	3/12	rc=0
ResAllocation-PT-R005C002	CTLF	112	0.04	80588	16	16	0	0	2/12	rc=0
RobotManipulation-PT-00001	CTLC	110	0.05	80648	16	16	0	0		rc=0
RobotManipulation-PT-00001	CTLF	110	0.05	80608	16	16	0	0		rc=0
ResAllocation-PT-R005C002	CTLC	112	0.05	81084	16	16	0	0	2/12	rc=0
Angiogenesis-PT-01	CTLF	110	0.07	80516	16	16	0	0	2/64	rc=0
Angiogenesis-PT-01	CTLC	110	0.08	80828	16	16	0	0	2/64	rc=0
CircadianClock-PT-000001	CTLC	128	0.03	80004	16	16	0	0		rc=0
CircadianClock-PT-000001	CTLF	128	0.03	80144	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLF	153	0.07	80608	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLC	153	0.09	81368	16	16	0	0		rc=0
CopsAndRobbers-PT-CRL005X001	CTLF	166	0.08	81392	16	16	0	0	16/39	rc=0
CopsAndRobbers-PT-CRL005X001	CTLC	166	0.10	82196	16	16	0	0	16/39	rc=0
ShieldRVs-PT-001A	CTLC	171	0.06	81224	16	16	0	0	14/22	rc=0
ShieldRVs-PT-001A	CTLF	171	0.07	81544	16	16	0	0	14/22	rc=0
CircularTrains-PT-012	CTLC	195	0.09	81516	16	16	0	0		rc=0
CircularTrains-PT-012	CTLF	195	0.09	81544	16	16	0	0		rc=0
TokenRing-PT-005	CTLF	166	0.19	86476	16	16	0	0	156/156	rc=0
DoubleExponent-PT-001	CTLC	149	0.27	83940	16	16	0	0	8/48	rc=0
TokenRing-PT-005	CTLC	166	0.21	82544	16	16	0	0	156/156	rc=0
DoubleExponent-PT-001	CTLF	149	0.28	84232	16	16	0	0	8/48	rc=0
AutonomousCar-PT-01a	CTLC	227	0.06	81312	16	16	0	0	10/35	rc=0
StigmergyElection-PT-03a	CTLC	227	0.05	81000	16	16	0	0	18/118	rc=0
StigmergyElection-PT-03a	CTLF	227	0.05	80812	16	16	0	0	18/118	rc=0
AutonomousCar-PT-01a	CTLF	227	0.07	81676	16	16	0	0	10/35	rc=0
IOTPpurchase-PT-C01M01P01D01	CTLC	204	0.15	82676	16	16	0	0		rc=0
IOTPpurchase-PT-C01M01P01D01	CTLF	204	0.14	82188	16	16	0	0		rc=0
Philosophers-PT-000005	CTLC	243	0.06	80580	16	16	0	0		rc=0
AutoFlight-PT-01a	CTLC	253	0.05	80752	16	16	0	0	6/30	rc=0
AutoFlight-PT-01a	CTLF	253	0.06	81056	16	16	0	0	6/30	rc=0
Philosophers-PT-000005	CTLF	243	0.18	81776	16	16	0	0		rc=0
PhilosophersDyn-PT-03	CTLC	325	0.33	83760	16	16	0	0	12/84	rc=0
NQueens-PT-05	CTLC	462	0.29	83644	16	16	0	0		rc=0
LamportFastMutEx-PT-2	CTLF	380	0.32	82968	16	16	0	0	36/96	rc=0
LamportFastMutEx-PT-2	CTLC	380	0.34	82488	16	16	0	0	36/96	rc=0
PhilosophersDyn-PT-03	CTLF	325	0.47	85240	16	16	0	0	12/84	rc=0
ShieldRVt-PT-002A	CTLC	513	0.04	80416	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vD	CTLC	503	0.10	82132	16	16	0	0	1/6	rc=0
ShieldRVt-PT-002A	CTLF	513	0.03	80440	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vD	CTLF	503	0.07	81024	16	16	0	0	1/6	rc=0
NQueens-PT-05	CTLF	462	0.32	83764	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vN	CTLF	624	0.07	81648	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vN	CTLC	624	0.07	81224	16	16	0	0		rc=0
NeoElection-PT-2	CTLF	241	0.73	92172	16	16	0	0	5/357	rc=0
StigmergyCommit-PT-02a	CTLC	695	0.19	84392	16	16	0	0	36/204	rc=0
StigmergyCommit-PT-02a	CTLF	695	0.17	83636	16	16	0	0	36/204	rc=0
CopsAndRobbers-PT-KFL010N005K002X001	CTLF	620	0.22	84924	16	16	0	0	50/93	rc=0
SimpleLoadBal-PT-02	CTLC	832	0.12	82032	16	16	0	0	13/45	rc=0
StigmergyElection-PT-04a	CTLC	977	0.07	81880	16	16	0	0	24/218	rc=0
