instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
LastZero-PT-N12	CTLC	10296391	58.69	169144	16	16	0	0	728/2485	rc=0
TwoPhaseLocking-PT-nC00100vN	CTLF	10119981	119.00	85308	0	0	0	16		rc=0
TwoPhaseLocking-PT-nC00100vN	CTLC	10119981	119.00	85528	0	0	0	16		rc=0
LastZero-PT-N12	CTLF	10296391	119.02	247916	6	6	0	10	728/2485	rc=0
StigmergyElection-PT-10a	CTLF	10873289	3.25	1165556	16	16	0	0	60/50162	rc=0
StigmergyElection-PT-10a	CTLC	10873289	3.65	1165340	16	16	0	0	60/50162	rc=0
HealthRecord-PT-05	CTLF	10974163	24.93	328076	16	16	0	0	173/246	rc=0
HealthRecord-PT-05	CTLC	10974163	36.00	350104	16	16	0	0	173/246	rc=0
CopsAndRobbers-PT-CRL023X004	CTLC	10376566	119.02	499940	13	13	0	3	70/165	rc=0
Dekker-PT-020	CTLC	11534336	0.27	96040	16	16	0	0	20/440	rc=0
Dekker-PT-020	CTLF	11534336	0.66	108004	16	16	0	0	20/440	rc=0
ResAllocation-PT-R020C002	CTLC	11534336	4.35	204824	16	16	0	0	2/42	rc=0
ResAllocation-PT-R020C002	CTLF	11534336	3.58	180676	16	16	0	0	2/42	rc=0
CopsAndRobbers-PT-CRL023X004	CTLF	10376566	86.04	408212	16	16	0	0	70/165	rc=0
FileSystem-PT-N02I10B08	CTLC	11461842	119.01	119320	0	0	0	16		rc=0
FileSystem-PT-N02I10B08	CTLF	11461842	119.01	119472	1	1	0	15		rc=0
ClientsAndServers-PT-N0002P1	CTLC	12462173	119.01	174484	0	0	0	16		rc=0
FileSystem-PT-N05I10B15	CTLC	12887040	2.54	104288	16	16	0	0		rc=0
FileSystem-PT-N05I10B15	CTLF	12887040	5.00	117144	16	16	0	0		rc=0
Referendum-PT-0015	CTLC	14348908	1.19	94224	16	16	0	0		rc=0
Referendum-PT-0015	CTLF	14348908	0.06	80756	16	16	0	0		rc=0
ClientsAndServers-PT-N0002P1	CTLF	12462173	119.00	143644	0	0	0	16		rc=0
FireWire-PT-10	CTLC	12669231	119.01	263448	4	4	0	12	104/409	rc=0
JoinFreeModules-PT-0004	CTLC	14776336	0.23	87804	16	16	0	0	8/33	rc=0
JoinFreeModules-PT-0004	CTLF	14776336	0.27	87252	16	16	0	0	8/33	rc=0
FireWire-PT-10	CTLF	12669231	119.01	221672	1	1	0	15	104/409	rc=0
FileSystem-PT-N02I15B15	CTLC	14778368	21.93	165376	16	16	0	0		rc=0
MedleyA-PT-01	CTLC	15009921	0.49	92488	16	16	0	0	13/53	rc=0
MedleyA-PT-01	CTLF	15009921	0.33	89540	16	16	0	0	13/53	rc=0
FileSystem-PT-N02I15B15	CTLF	14778368	19.47	151800	16	16	0	0		rc=0
AutonomousCar-PT-06a	CTLC	15168174	13.36	376112	16	16	0	0	35/417	rc=0
AutonomousCar-PT-06a	CTLF	15168174	12.67	366812	16	16	0	0	35/417	rc=0
FireWire-PT-08	CTLC	14695428	119.02	386744	10	10	0	6	105/397	rc=0
FireWire-PT-08	CTLF	14695428	119.02	466596	10	10	0	6	105/397	rc=0
Solitaire-PT-SqrNC5x5	CTLC	16098428	119.02	530860	0	0	0	16	84/84	rc=0
Solitaire-PT-SqrNC5x5	CTLF	16098428	119.02	406656	0	0	0	16	84/84	rc=0
SatelliteMemory-PT-X01500Y0046	CTLC	16913270	119.00	105064	0	0	0	16		rc=0
ShieldPPPt-PT-001B	CTLC	17903046	8.04	270112	16	16	0	0	26/74	rc=0
