instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
Sudoku-PT-BN01	CTLF	2	0.03	80140	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLC	2	0.03	80228	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLF	2	0.03	80116	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLC	8	0.03	80156	16	16	0	0	2/6	rc=0
ERK-PT-000001	CTLC	13	0.03	80496	16	16	0	0		rc=0
ERK-PT-000001	CTLF	13	0.03	80032	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLF	8	0.03	80180	16	16	0	0	2/6	rc=0
Sudoku-PT-BN01	CTLC	2	0.03	80240	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	80224	16	16	0	0	2/8	rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	80260	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80356	16	16	0	0		rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80340	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80488	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80428	16	16	0	0	1/6	rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80420	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80296	16	16	0	0	1/6	rc=0
Sudoku-PT-AN02	CTLC	35	0.03	80624	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLC	50	0.03	80460	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.03	80284	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.03	80588	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLF	35	0.04	80620	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLC	57	0.04	80788	16	16	0	0	12/66	rc=0
SupplyChain-PT-00002	CTLF	50	0.03	80464	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLF	57	0.04	80756	16	16	0	0	12/66	rc=0
ResAllocation-PT-R003C003	CTLC	92	0.03	80464	16	16	0	0	3/12	rc=0
ResAllocation-PT-R003C003	CTLF	92	0.03	80304	16	16	0	0	3/12	rc=0
RobotManipulation-PT-00001	CTLF	110	0.04	80352	16	16	0	0		rc=0
RobotManipulation-PT-00001	CTLC	110	0.04	80596	16	16	0	0		rc=0
ResAllocation-PT-R005C002	CTLF	112	0.03	80556	16	16	0	0	2/12	rc=0
ResAllocation-PT-R005C002	CTLC	112	0.04	80892	16	16	0	0	2/12	rc=0
Angiogenesis-PT-01	CTLF	110	0.04	80544	16	16	0	0	2/64	rc=0
Angiogenesis-PT-01	CTLC	110	0.05	81108	16	16	0	0	2/64	rc=0
CircadianClock-PT-000001	CTLC	128	0.03	80540	16	16	0	0		rc=0
CircadianClock-PT-000001	CTLF	128	0.03	80508	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLF	153	0.04	80956	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLC	153	0.06	81600	16	16	0	0		rc=0
CopsAndRobbers-PT-CRL005X001	CTLC	166	0.07	81408	16	16	0	0	16/39	rc=0
CopsAndRobbers-PT-CRL005X001	CTLF	166	0.06	81048	16	16	0	0	16/39	rc=0
DoubleExponent-PT-001	CTLF	149	0.09	81208	16	16	0	0	8/48	rc=0
DoubleExponent-PT-001	CTLC	149	0.09	81096	16	16	0	0	8/48	rc=0
ShieldRVs-PT-001A	CTLC	171	0.05	81268	16	16	0	0	14/22	rc=0
CircularTrains-PT-012	CTLF	195	0.04	80908	16	16	0	0		rc=0
CircularTrains-PT-012	CTLC	195	0.04	80960	16	16	0	0		rc=0
ShieldRVs-PT-001A	CTLF	171	0.06	81160	16	16	0	0	14/22	rc=0
IOTPpurchase-PT-C01M01P01D01	CTLC	204	0.05	81564	16	16	0	0		rc=0
IOTPpurchase-PT-C01M01P01D01	CTLF	204	0.05	81408	16	16	0	0		rc=0
AutonomousCar-PT-01a	CTLC	227	0.05	81104	16	16	0	0	10/35	rc=0
StigmergyElection-PT-03a	CTLC	227	0.05	81276	16	16	0	0	18/118	rc=0
AutonomousCar-PT-01a	CTLF	227	0.06	81368	16	16	0	0	10/35	rc=0
StigmergyElection-PT-03a	CTLF	227	0.05	81068	16	16	0	0	18/118	rc=0
TokenRing-PT-005	CTLC	166	0.24	83392	16	16	0	0	156/156	rc=0
TokenRing-PT-005	CTLF	166	0.24	86984	16	16	0	0	156/156	rc=0
Philosophers-PT-000005	CTLC	243	0.05	80812	16	16	0	0		rc=0
AutoFlight-PT-01a	CTLC	253	0.04	80880	16	16	0	0	6/30	rc=0
AutoFlight-PT-01a	CTLF	253	0.04	80984	16	16	0	0	6/30	rc=0
Philosophers-PT-000005	CTLF	243	0.11	81432	16	16	0	0		rc=0
PhilosophersDyn-PT-03	CTLC	325	0.13	81840	16	16	0	0	12/84	rc=0
LamportFastMutEx-PT-2	CTLC	380	0.14	82372	16	16	0	0	36/96	rc=0
NQueens-PT-05	CTLC	462	0.13	82276	16	16	0	0		rc=0
LamportFastMutEx-PT-2	CTLF	380	0.15	82844	16	16	0	0	36/96	rc=0
PhilosophersDyn-PT-03	CTLF	325	0.20	82556	16	16	0	0	12/84	rc=0
ShieldRVt-PT-002A	CTLC	513	0.03	80592	16	16	0	0		rc=0
ShieldRVt-PT-002A	CTLF	513	0.03	80316	16	16	0	0		rc=0
NQueens-PT-05	CTLF	462	0.16	82836	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vD	CTLF	503	0.14	82296	16	16	0	0	1/6	rc=0
CopsAndRobbers-PT-KFL010N005K002X001	CTLF	620	0.11	82740	16	16	0	0	50/93	rc=0
TwoPhaseLocking-PT-nC00010vD	CTLC	503	0.20	84040	16	16	0	0	1/6	rc=0
CopsAndRobbers-PT-KFL010N005K002X001	CTLC	620	0.15	83264	16	16	0	0	50/93	rc=0
TwoPhaseLocking-PT-nC00010vN	CTLC	624	0.12	82468	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vN	CTLF	624	0.15	82688	16	16	0	0		rc=0
SimpleLoadBal-PT-02	CTLC	832	0.06	81372	16	16	0	0	13/45	rc=0
StigmergyCommit-PT-02a	CTLC	695	0.12	84408	16	16	0	0	36/204	rc=0
StigmergyCommit-PT-02a	CTLF	695	0.10	83176	16	16	0	0	36/204	rc=0
SimpleLoadBal-PT-02	CTLF	832	0.06	81416	16	16	0	0	13/45	rc=0
SieveSingleMsgMbox-PT-d0m04	CTLC	702	0.14	86968	16	16	0	0	16/73	rc=0
DrinkVendingMachine-PT-02	CTLC	1024	0.05	81836	16	16	0	0		rc=0
DrinkVendingMachine-PT-02	CTLF	1024	0.05	81368	16	16	0	0		rc=0
StigmergyElection-PT-04a	CTLC	977	0.13	82944	16	16	0	0	24/218	rc=0
RwMutex-PT-r0010w0010	CTLC	1034	0.03	80980	16	16	0	0		rc=0
SieveSingleMsgMbox-PT-d0m04	CTLF	702	0.26	92864	16	16	0	0	16/73	rc=0
StigmergyElection-PT-04a	CTLF	977	0.14	83172	16	16	0	0	24/218	rc=0
RwMutex-PT-r0010w0010	CTLF	1034	0.03	80788	16	16	0	0		rc=0
RwMutex-PT-r0010w0020	CTLC	1044	0.04	81744	16	16	0	0		rc=0
RwMutex-PT-r0010w0020	CTLF	1044	0.05	81312	16	16	0	0		rc=0
RwMutex-PT-r0010w0050	CTLC	1074	0.06	83196	16	16	0	0		rc=0
RwMutex-PT-r0010w0050	CTLF	1074	0.07	82752	16	16	0	0		rc=0
UtilityControlRoom-PT-Z2T4N02	CTLF	1092	0.06	81096	16	16	0	0		rc=0
UtilityControlRoom-PT-Z2T4N02	CTLC	1092	0.07	81436	16	16	0	0		rc=0
QuasiCertifProtocol-PT-02	CTLC	1029	0.32	85432	16	16	0	0	26/56	rc=0
RwMutex-PT-r0010w0100	CTLC	1124	0.10	85224	16	16	0	0		rc=0
QuasiCertifProtocol-PT-02	CTLF	1029	0.29	85456	16	16	0	0	26/56	rc=0
