instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
Sudoku-PT-AN01	CTLC	2	0.03	79944	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLF	2	0.03	79952	16	16	0	0		rc=0
ERK-PT-000001	CTLF	13	0.03	80152	16	16	0	0		rc=0
ERK-PT-000001	CTLC	13	0.03	80360	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLF	2	0.03	79860	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLF	8	0.03	80016	16	16	0	0	2/6	rc=0
ResAllocation-PT-R002C002	CTLC	8	0.03	80176	16	16	0	0	2/6	rc=0
Sudoku-PT-BN01	CTLC	2	0.03	79836	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	80000	16	16	0	0	2/8	rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	80248	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80256	16	16	0	0		rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80176	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80500	16	16	0	0	1/6	rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80320	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80280	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80436	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.03	80316	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.03	80132	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLC	35	0.03	80416	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLF	35	0.04	80400	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLF	50	0.04	80736	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLC	57	0.04	80916	16	16	0	0	12/66	rc=0
SupplyChain-PT-00002	CTLC	50	0.04	81068	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLF	57	0.04	80760	16	16	0	0	12/66	rc=0
ResAllocation-PT-R003C003	CTLF	92	0.03	80196	16	16	0	0	3/12	rc=0
ResAllocation-PT-R003C003	CTLC	92	0.03	80528	16	16	0	0	3/12	rc=0
ResAllocation-PT-R005C002	CTLF	112	0.03	80648	16	16	0	0	2/12	rc=0
RobotManipulation-PT-00001	CTLF	110	0.04	80756	16	16	0	0		rc=0
RobotManipulation-PT-00001	CTLC	110	0.04	80572	16	16	0	0		rc=0
ResAllocation-PT-R005C002	CTLC	112	0.04	81052	16	16	0	0	2/12	rc=0
Angiogenesis-PT-01	CTLF	110	0.07	80732	16	16	0	0	2/64	rc=0
Angiogenesis-PT-01	CTLC	110	0.08	81108	16	16	0	0	2/64	rc=0
CircadianClock-PT-000001	CTLC	128	0.03	80516	16	16	0	0		rc=0
CircadianClock-PT-000001	CTLF	128	0.03	80244	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLF	153	0.05	80876	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLC	153	0.08	81604	16	16	0	0		rc=0
CopsAndRobbers-PT-CRL005X001	CTLF	166	0.10	82316	16	16	0	0	16/39	rc=0
CopsAndRobbers-PT-CRL005X001	CTLC	166	0.11	82612	16	16	0	0	16/39	rc=0
ShieldRVs-PT-001A	CTLC	171	0.05	81348	16	16	0	0	14/22	rc=0
ShieldRVs-PT-001A	CTLF	171	0.06	81696	16	16	0	0	14/22	rc=0
DoubleExponent-PT-001	CTLF	149	0.19	83664	16	16	0	0	8/48	rc=0
DoubleExponent-PT-001	CTLC	149	0.21	84556	16	16	0	0	8/48	rc=0
CircularTrains-PT-012	CTLC	195	0.05	81248	16	16	0	0		rc=0
TokenRing-PT-005	CTLF	166	0.16	86676	16	16	0	0	156/156	rc=0
TokenRing-PT-005	CTLC	166	0.17	82668	16	16	0	0	156/156	rc=0
CircularTrains-PT-012	CTLF	195	0.05	81388	16	16	0	0		rc=0
IOTPpurchase-PT-C01M01P01D01	CTLC	204	0.09	82228	16	16	0	0		rc=0
AutonomousCar-PT-01a	CTLC	227	0.06	81436	16	16	0	0	10/35	rc=0
IOTPpurchase-PT-C01M01P01D01	CTLF	204	0.07	81824	16	16	0	0		rc=0
AutonomousCar-PT-01a	CTLF	227	0.06	81968	16	16	0	0	10/35	rc=0
StigmergyElection-PT-03a	CTLC	227	0.05	81312	16	16	0	0	18/118	rc=0
StigmergyElection-PT-03a	CTLF	227	0.05	80748	16	16	0	0	18/118	rc=0
Philosophers-PT-000005	CTLC	243	0.05	80852	16	16	0	0		rc=0
AutoFlight-PT-01a	CTLC	253	0.04	80928	16	16	0	0	6/30	rc=0
AutoFlight-PT-01a	CTLF	253	0.05	81052	16	16	0	0	6/30	rc=0
Philosophers-PT-000005	CTLF	243	0.12	82036	16	16	0	0		rc=0
PhilosophersDyn-PT-03	CTLC	325	0.17	83664	16	16	0	0	12/84	rc=0
LamportFastMutEx-PT-2	CTLF	380	0.18	82816	16	16	0	0	36/96	rc=0
