instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
ResAllocation-PT-R002C002	CTLC	8	0.03	79904	16	16	0	0	2/6	rc=0
Sudoku-PT-BN01	CTLC	2	0.03	80000	16	16	0	0		rc=0
ERK-PT-000001	CTLC	13	0.03	80108	16	16	0	0		rc=0
ResAllocation-PT-R002C002	CTLF	8	0.03	80132	16	16	0	0	2/6	rc=0
Sudoku-PT-BN01	CTLF	2	0.03	80020	16	16	0	0		rc=0
ERK-PT-000001	CTLF	13	0.03	80012	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLF	2	0.03	80156	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLC	2	0.03	80144	16	16	0	0		rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80036	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	80232	16	16	0	0	2/8	rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	80192	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80056	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80284	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80268	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80096	16	16	0	0	1/6	rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80288	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.03	80168	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLC	35	0.03	80196	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.03	80400	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLF	50	0.03	80424	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLC	50	0.03	80392	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLF	35	0.04	80600	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLC	57	0.04	80560	16	16	0	0	12/66	rc=0
StigmergyElection-PT-02a	CTLF	57	0.04	80496	16	16	0	0	12/66	rc=0
ResAllocation-PT-R003C003	CTLF	92	0.03	80180	16	16	0	0	3/12	rc=0
ResAllocation-PT-R003C003	CTLC	92	0.03	80420	16	16	0	0	3/12	rc=0
ResAllocation-PT-R005C002	CTLF	112	0.03	80492	16	16	0	0	2/12	rc=0
RobotManipulation-PT-00001	CTLF	110	0.03	80328	16	16	0	0		rc=0
RobotManipulation-PT-00001	CTLC	110	0.03	80356	16	16	0	0		rc=0
ResAllocation-PT-R005C002	CTLC	112	0.04	80788	16	16	0	0	2/12	rc=0
Angiogenesis-PT-01	CTLF	110	0.05	80588	16	16	0	0	2/64	rc=0
Angiogenesis-PT-01	CTLC	110	0.06	80676	16	16	0	0	2/64	rc=0
CircadianClock-PT-000001	CTLC	128	0.03	80228	16	16	0	0		rc=0
CircadianClock-PT-000001	CTLF	128	0.03	80224	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLF	153	0.05	80796	16	16	0	0		rc=0
CopsAndRobbers-PT-CRL005X001	CTLF	166	0.05	80772	16	16	0	0	16/39	rc=0
DatabaseWithMutex-PT-02	CTLC	153	0.06	81276	16	16	0	0		rc=0
CopsAndRobbers-PT-CRL005X001	CTLC	166	0.06	81104	16	16	0	0	16/39	rc=0
DoubleExponent-PT-001	CTLC	149	0.11	81324	16	16	0	0	8/48	rc=0
DoubleExponent-PT-001	CTLF	149	0.11	81648	16	16	0	0	8/48	rc=0
CircularTrains-PT-012	CTLC	195	0.04	80688	16	16	0	0		rc=0
ShieldRVs-PT-001A	CTLC	171	0.05	81172	16	16	0	0	14/22	rc=0
CircularTrains-PT-012	CTLF	195	0.04	80700	16	16	0	0		rc=0
ShieldRVs-PT-001A	CTLF	171	0.06	81168	16	16	0	0	14/22	rc=0
IOTPpurchase-PT-C01M01P01D01	CTLC	204	0.05	81512	16	16	0	0		rc=0
IOTPpurchase-PT-C01M01P01D01	CTLF	204	0.05	81052	16	16	0	0		rc=0
AutonomousCar-PT-01a	CTLC	227	0.05	80828	16	16	0	0	10/35	rc=0
StigmergyElection-PT-03a	CTLC	227	0.05	81104	16	16	0	0	18/118	rc=0
AutonomousCar-PT-01a	CTLF	227	0.05	81120	16	16	0	0	10/35	rc=0
StigmergyElection-PT-03a	CTLF	227	0.05	80972	16	16	0	0	18/118	rc=0
TokenRing-PT-005	CTLC	166	0.23	83160	16	16	0	0	156/156	rc=0
TokenRing-PT-005	CTLF	166	0.24	86836	16	16	0	0	156/156	rc=0
Philosophers-PT-000005	CTLC	243	0.05	80720	16	16	0	0		rc=0
AutoFlight-PT-01a	CTLC	253	0.04	80564	16	16	0	0	6/30	rc=0
AutoFlight-PT-01a	CTLF	253	0.04	80880	16	16	0	0	6/30	rc=0
Philosophers-PT-000005	CTLF	243	0.11	81380	16	16	0	0		rc=0
PhilosophersDyn-PT-03	CTLC	325	0.13	81672	16	16	0	0	12/84	rc=0
LamportFastMutEx-PT-2	CTLC	380	0.13	82228	16	16	0	0	36/96	rc=0
NQueens-PT-05	CTLC	462	0.13	82164	16	16	0	0		rc=0
LamportFastMutEx-PT-2	CTLF	380	0.14	82592	16	16	0	0	36/96	rc=0
PhilosophersDyn-PT-03	CTLF	325	0.19	82408	16	16	0	0	12/84	rc=0
ShieldRVt-PT-002A	CTLC	513	0.03	80440	16	16	0	0		rc=0
ShieldRVt-PT-002A	CTLF	513	0.03	80172	16	16	0	0		rc=0
NQueens-PT-05	CTLF	462	0.15	82752	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vD	CTLF	503	0.13	81980	16	16	0	0	1/6	rc=0
CopsAndRobbers-PT-KFL010N005K002X001	CTLC	620	0.11	82828	16	16	0	0	50/93	rc=0
CopsAndRobbers-PT-KFL010N005K002X001	CTLF	620	0.08	82064	16	16	0	0	50/93	rc=0
TwoPhaseLocking-PT-nC00010vD	CTLC	503	0.20	84048	16	16	0	0	1/6	rc=0
TwoPhaseLocking-PT-nC00010vN	CTLC	624	0.12	82364	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00010vN	CTLF	624	0.14	82552	16	16	0	0		rc=0
SimpleLoadBal-PT-02	CTLC	832	0.07	81748	16	16	0	0	13/45	rc=0
StigmergyCommit-PT-02a	CTLC	695	0.12	83728	16	16	0	0	36/204	rc=0
StigmergyCommit-PT-02a	CTLF	695	0.12	83268	16	16	0	0	36/204	rc=0
SimpleLoadBal-PT-02	CTLF	832	0.06	81488	16	16	0	0	13/45	rc=0
DrinkVendingMachine-PT-02	CTLC	1024	0.05	81584	16	16	0	0		rc=0
DrinkVendingMachine-PT-02	CTLF	1024	0.05	81228	16	16	0	0		rc=0
StigmergyElection-PT-04a	CTLC	977	0.15	82784	16	16	0	0	24/218	rc=0
StigmergyElection-PT-04a	CTLF	977	0.17	82804	16	16	0	0	24/218	rc=0
SieveSingleMsgMbox-PT-d0m04	CTLF	702	0.30	85788	16	16	0	0	16/73	rc=0
SieveSingleMsgMbox-PT-d0m04	CTLC	702	0.38	86596	16	16	0	0	16/73	rc=0
RwMutex-PT-r0010w0010	CTLC	1034	0.03	80624	16	16	0	0		rc=0
RwMutex-PT-r0010w0010	CTLF	1034	0.03	80632	16	16	0	0		rc=0
RwMutex-PT-r0010w0020	CTLC	1044	0.04	81088	16	16	0	0		rc=0
RwMutex-PT-r0010w0020	CTLF	1044	0.05	80816	16	16	0	0		rc=0
RwMutex-PT-r0010w0050	CTLC	1074	0.06	82280	16	16	0	0		rc=0
RwMutex-PT-r0010w0050	CTLF	1074	0.06	82036	16	16	0	0		rc=0
UtilityControlRoom-PT-Z2T4N02	CTLC	1092	0.08	81560	16	16	0	0		rc=0
QuasiCertifProtocol-PT-02	CTLF	1029	0.31	84748	16	16	0	0	26/56	rc=0
UtilityControlRoom-PT-Z2T4N02	CTLF	1092	0.08	81264	16	16	0	0		rc=0
RwMutex-PT-r0010w0100	CTLC	1124	0.08	84012	16	16	0	0		rc=0
QuasiCertifProtocol-PT-02	CTLC	1029	0.37	85100	16	16	0	0	26/56	rc=0
ResAllocation-PT-R003C005	CTLC	1200	0.06	81604	16	16	0	0	5/20	rc=0
RwMutex-PT-r0010w0100	CTLF	1124	0.10	84108	16	16	0	0		rc=0
ShieldIIPt-PT-001A	CTLC	1281	0.04	80800	16	16	0	0		rc=0
ShieldIIPt-PT-001A	CTLF	1281	0.04	81092	16	16	0	0		rc=0
ResAllocation-PT-R003C005	CTLF	1200	0.07	81868	16	16	0	0	5/20	rc=0
GPUForwardProgress-PT-04a	CTLC	1373	0.05	81140	16	16	0	0	5/29	rc=0
GPUForwardProgress-PT-04a	CTLF	1373	0.06	81924	16	16	0	0	5/29	rc=0
HouseConstruction-PT-00002	CTLC	1501	0.06	81032	16	16	0	0	1/18	rc=0
HouseConstruction-PT-00002	CTLF	1501	0.05	81452	16	16	0	0	1/18	rc=0
RobotManipulation-PT-00002	CTLF	1430	0.09	81268	16	16	0	0		rc=0
RobotManipulation-PT-00002	CTLC	1430	0.13	82644	16	16	0	0		rc=0
Railroad-PT-005	CTLC	1838	0.08	82432	16	16	0	0	6/56	rc=0
Railroad-PT-005	CTLF	1838	0.09	82840	16	16	0	0	6/56	rc=0
SharedMemory-PT-000005	CTLF	1863	0.13	82628	16	16	0	0		rc=0
SharedMemory-PT-000005	CTLC	1863	0.15	82928	16	16	0	0		rc=0
FileSystem-PT-N02I05B05	CTLF	1632	0.72	85300	16	16	0	0		rc=0
Eratosthenes-PT-020	CTLC	2048	0.03	80520	16	16	0	0		rc=0
FileSystem-PT-N02I05B05	CTLC	1632	0.88	87056	16	16	0	0		rc=0
Eratosthenes-PT-020	CTLF	2048	0.04	80600	16	16	0	0		rc=0
RwMutex-PT-r0010w0500	CTLF	1524	1.45	115472	16	16	0	0		rc=0
AutonomousCar-PT-02a	CTLC	2314	0.17	86856	16	16	0	0	15/69	rc=0
AutonomousCar-PT-02a	CTLF	2314	0.16	85524	16	16	0	0	15/69	rc=0
IBM319-PT-none	CTLC	2482	0.10	83308	16	16	0	0	2/178	rc=0
RwMutex-PT-r0010w0500	CTLC	1524	2.30	114656	16	16	0	0		rc=0
IBM319-PT-none	CTLF	2482	0.12	84228	16	16	0	0	2/178	rc=0
RingSingleMessageInMbox-PT-d0m005	CTLC	2662	2.87	132956	16	16	0	0	22/59	rc=0
BridgeAndVehicles-PT-V04P05N02	CTLC	2874	0.40	87512	16	16	0	0	32/52	rc=0
