instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
LastZero-PT-N12	CTLC	10296391	119.02	141236	0	0	0	16		rc=0
LastZero-PT-N12	CTLF	10296391	119.02	141384	0	0	0	16		rc=0
TwoPhaseLocking-PT-nC00100vN	CTLF	10119981	119.05	1201436	8	8	0	8		rc=0
TwoPhaseLocking-PT-nC00100vN	CTLC	10119981	119.06	1543304	11	11	0	5		rc=0
StigmergyElection-PT-10a	CTLF	10873289	3.30	950720	16	16	0	0	60/50162	rc=0
StigmergyElection-PT-10a	CTLC	10873289	3.36	950552	16	16	0	0	60/50162	rc=0
HealthRecord-PT-05	CTLF	10974163	88.34	385848	16	16	0	0	173/246	rc=0
CopsAndRobbers-PT-CRL023X004	CTLC	10376566	119.04	1131100	4	4	0	12	70/165	rc=0
CopsAndRobbers-PT-CRL023X004	CTLF	10376566	119.05	1138436	14	14	0	2	70/165	rc=0
HealthRecord-PT-05	CTLC	10974163	119.01	321692	12	12	0	4	173/246	rc=0
Dekker-PT-020	CTLC	11534336	3.58	173940	16	16	0	0	20/440	rc=0
Dekker-PT-020	CTLF	11534336	8.50	222912	16	16	0	0	20/440	rc=0
FileSystem-PT-N02I10B08	CTLC	11461842	119.00	106420	0	0	0	16		rc=0
FileSystem-PT-N02I10B08	CTLF	11461842	119.01	106432	0	0	0	16		rc=0
ResAllocation-PT-R020C002	CTLC	11534336	119.02	444968	0	0	0	16		rc=0
ResAllocation-PT-R020C002	CTLF	11534336	119.02	445244	0	0	0	16		rc=0
ClientsAndServers-PT-N0002P1	CTLC	12462173	119.01	200420	0	0	0	16		rc=0
ClientsAndServers-PT-N0002P1	CTLF	12462173	119.01	199272	0	0	0	16		rc=0
FireWire-PT-10	CTLC	12669231	119.03	600668	10	10	0	6	104/409	rc=0
Referendum-PT-0015	CTLC	14348908	1.24	95904	16	16	0	0		rc=0
Referendum-PT-0015	CTLF	14348908	0.06	80772	16	16	0	0		rc=0
FireWire-PT-10	CTLF	12669231	119.02	390664	9	9	0	7	104/409	rc=0
FileSystem-PT-N05I10B15	CTLC	12887040	119.01	117356	0	0	0	16		rc=0
JoinFreeModules-PT-0004	CTLC	14776336	1.07	129924	16	16	0	0	8/33	rc=0
JoinFreeModules-PT-0004	CTLF	14776336	0.91	121092	16	16	0	0	8/33	rc=0
FileSystem-PT-N05I10B15	CTLF	12887040	119.01	117416	0	0	0	16		rc=0
FireWire-PT-08	CTLC	14695428	119.02	517868	15	15	0	1	105/397	rc=0
MedleyA-PT-01	CTLC	15009921	0.36	93768	16	16	0	0	13/53	rc=0
MedleyA-PT-01	CTLF	15009921	0.28	92300	16	16	0	0	13/53	rc=0
FireWire-PT-08	CTLF	14695428	119.02	506684	12	12	0	4	105/397	rc=0
AutonomousCar-PT-06a	CTLC	15168174	15.45	327360	16	16	0	0	35/417	rc=0
AutonomousCar-PT-06a	CTLF	15168174	16.99	309128	16	16	0	0	35/417	rc=0
FileSystem-PT-N02I15B15	CTLC	14778368	119.01	114324	0	0	0	16		rc=0
FileSystem-PT-N02I15B15	CTLF	14778368	119.01	114452	0	0	0	16		rc=0
Solitaire-PT-SqrNC5x5	CTLC	16098428	119.05	1486384	1	1	0	15	84/84	rc=0
Solitaire-PT-SqrNC5x5	CTLF	16098428	119.04	1066108	0	0	0	16	84/84	rc=0
SatelliteMemory-PT-X01500Y0046	CTLC	16913270	119.02	420256	0	0	0	16		rc=0
SatelliteMemory-PT-X01500Y0046	CTLF	16913270	119.01	419780	0	0	0	16		rc=0
