instance	exam	states	wall_s	maxrss_kb	answered	ok	wrong	unknown	protected	note
ResAllocation-PT-R002C002	CTLC	8	0.03	80236	16	16	0	0	2/6	rc=0
ResAllocation-PT-R002C002	CTLF	8	0.03	80160	16	16	0	0	2/6	rc=0
ERK-PT-000001	CTLF	13	0.03	80196	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLC	2	0.03	80276	16	16	0	0		rc=0
Sudoku-PT-BN01	CTLF	2	0.03	80280	16	16	0	0		rc=0
ERK-PT-000001	CTLC	13	0.03	80272	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLC	2	0.03	80028	16	16	0	0		rc=0
Sudoku-PT-AN01	CTLF	2	0.03	80216	16	16	0	0		rc=0
Eratosthenes-PT-010	CTLF	32	0.03	80212	16	16	0	0		rc=0
ResAllocation-PT-R003C002	CTLF	20	0.03	80376	16	16	0	0	2/8	rc=0
ResAllocation-PT-R003C002	CTLC	20	0.03	80376	16	16	0	0	2/8	rc=0
Eratosthenes-PT-010	CTLC	32	0.03	80216	16	16	0	0		rc=0
ShieldRVt-PT-001A	CTLC	33	0.03	80220	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLF	32	0.03	80296	16	16	0	0	1/6	rc=0
ShieldRVt-PT-001A	CTLF	33	0.03	80220	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vD	CTLC	32	0.03	80472	16	16	0	0	1/6	rc=0
SupplyChain-PT-00002	CTLF	50	0.03	80472	16	16	0	0		rc=0
Sudoku-PT-AN02	CTLC	35	0.03	80472	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLF	45	0.03	80376	16	16	0	0		rc=0
SupplyChain-PT-00002	CTLC	50	0.03	80564	16	16	0	0		rc=0
TwoPhaseLocking-PT-nC00004vN	CTLC	45	0.03	80456	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLC	57	0.04	80716	16	16	0	0	12/66	rc=0
Sudoku-PT-AN02	CTLF	35	0.04	80632	16	16	0	0		rc=0
StigmergyElection-PT-02a	CTLF	57	0.04	80488	16	16	0	0	12/66	rc=0
ResAllocation-PT-R003C003	CTLF	92	0.03	80328	16	16	0	0	3/12	rc=0
ResAllocation-PT-R003C003	CTLC	92	0.03	80756	16	16	0	0	3/12	rc=0
RobotManipulation-PT-00001	CTLF	110	0.03	80348	16	16	0	0		rc=0
RobotManipulation-PT-00001	CTLC	110	0.03	80704	16	16	0	0		rc=0
ResAllocation-PT-R005C002	CTLF	112	0.03	80400	16	16	0	0	2/12	rc=0
ResAllocation-PT-R005C002	CTLC	112	0.03	81096	16	16	0	0	2/12	rc=0
Angiogenesis-PT-01	CTLF	110	0.05	80808	16	16	0	0	2/64	rc=0
Angiogenesis-PT-01	CTLC	110	0.05	81056	16	16	0	0	2/64	rc=0
CircadianClock-PT-000001	CTLC	128	0.03	80632	16	16	0	0		rc=0
CircadianClock-PT-000001	CTLF	128	0.03	80128	16	16	0	0		rc=0
DatabaseWithMutex-PT-02	CTLF	153	0.04	80788	16	16	0	0		rc=0
